x,y
191452.9972,1546997
191952.9972,1546997
192452.9972,1546997
192952.9972,1546997
193452.9972,1546997
193952.9972,1546997
194452.9972,1546997
194952.9972,1546997
195452.9972,1546997
195952.9972,1546997
196952.9972,1546997
197952.9972,1546997
198452.9972,1546997
198952.9972,1546997
200452.9972,1546997
201452.9972,1546997
202452.9972,1546997
203452.9972,1546997
204452.9972,1546997
204952.9972,1546997
205452.9972,1546997
205952.9972,1546997
206452.9972,1546997
206952.9972,1546997
207452.9972,1546997
207952.9972,1546997
208452.9972,1546997
208952.9972,1546997
209452.9972,1546997
209952.9972,1546997
210452.9972,1546997
210952.9972,1546997
211452.9972,1546997
211952.9972,1546997
212452.9972,1546997
212952.9972,1546997
213952.9972,1546997
215452.9972,1546997
215952.9972,1546997
216452.9972,1546997
217452.9972,1546997
217952.9972,1546997
219452.9972,1546997
220952.9972,1546997
223952.9972,1546997
224452.9972,1546997
224952.9972,1546997
186952.9972,1547497
187952.9972,1547497
188452.9972,1547497
188952.9972,1547497
189452.9972,1547497
189952.9972,1547497
190452.9972,1547497
190952.9972,1547497
191452.9972,1547497
191952.9972,1547497
192452.9972,1547497
192952.9972,1547497
193452.9972,1547497
193952.9972,1547497
194452.9972,1547497
194952.9972,1547497
195452.9972,1547497
195952.9972,1547497
196452.9972,1547497
196952.9972,1547497
197452.9972,1547497
197952.9972,1547497
198452.9972,1547497
198952.9972,1547497
199452.9972,1547497
199952.9972,1547497
200452.9972,1547497
200952.9972,1547497
201452.9972,1547497
201952.9972,1547497
202452.9972,1547497
202952.9972,1547497
203452.9972,1547497
203952.9972,1547497
204452.9972,1547497
204952.9972,1547497
205452.9972,1547497
205952.9972,1547497
206452.9972,1547497
206952.9972,1547497
207452.9972,1547497
207952.9972,1547497
208452.9972,1547497
208952.9972,1547497
209452.9972,1547497
209952.9972,1547497
210452.9972,1547497
210952.9972,1547497
211452.9972,1547497
211952.9972,1547497
212452.9972,1547497
212952.9972,1547497
213452.9972,1547497
213952.9972,1547497
215452.9972,1547497
215952.9972,1547497
216952.9972,1547497
217952.9972,1547497
218452.9972,1547497
218952.9972,1547497
219952.9972,1547497
220452.9972,1547497
220952.9972,1547497
185952.9972,1547997
186452.9972,1547997
186952.9972,1547997
187452.9972,1547997
187952.9972,1547997
188452.9972,1547997
188952.9972,1547997
189452.9972,1547997
190452.9972,1547997
190952.9972,1547997
191452.9972,1547997
191952.9972,1547997
192452.9972,1547997
192952.9972,1547997
193452.9972,1547997
193952.9972,1547997
194452.9972,1547997
194952.9972,1547997
195452.9972,1547997
195952.9972,1547997
196452.9972,1547997
196952.9972,1547997
197452.9972,1547997
197952.9972,1547997
198452.9972,1547997
198952.9972,1547997
199452.9972,1547997
199952.9972,1547997
200452.9972,1547997
201452.9972,1547997
201952.9972,1547997
202452.9972,1547997
202952.9972,1547997
203452.9972,1547997
203952.9972,1547997
204452.9972,1547997
204952.9972,1547997
205452.9972,1547997
205952.9972,1547997
206452.9972,1547997
206952.9972,1547997
207452.9972,1547997
207952.9972,1547997
208452.9972,1547997
208952.9972,1547997
209452.9972,1547997
209952.9972,1547997
210452.9972,1547997
210952.9972,1547997
211452.9972,1547997
211952.9972,1547997
212452.9972,1547997
212952.9972,1547997
213452.9972,1547997
213952.9972,1547997
214452.9972,1547997
215452.9972,1547997
215952.9972,1547997
216452.9972,1547997
219452.9972,1547997
219952.9972,1547997
220452.9972,1547997
220952.9972,1547997
221452.9972,1547997
224452.9972,1547997
225452.9972,1547997
190952.9972,1548497
191452.9972,1548497
191952.9972,1548497
192452.9972,1548497
192952.9972,1548497
193452.9972,1548497
193952.9972,1548497
194452.9972,1548497
194952.9972,1548497
195452.9972,1548497
195952.9972,1548497
196452.9972,1548497
196952.9972,1548497
197452.9972,1548497
197952.9972,1548497
198452.9972,1548497
