cell_id,site_effort,elevation,ndvi,dist_water,dist_roads,roads_hii,dist_fe,block
344,-0.2066095303893528,-0.5052694158347795,0.28271540192761185,-0.7293811347646671,-0.16428504049187373,-0.40493262336691666,-0.9660703792303564,1
361,-0.2066095303893528,1.4970699503314513,-0.4143552749485951,-0.8244084799097564,1.6117003288567098,-0.999834499722431,5.215888892861396,1
366,-0.2066095303893528,-0.8525183166526065,0.07284157986605114,-0.8508397940802137,-0.04030433615422348,-0.4786075124189227,-0.9660703792303564,1
382,-0.2066095303893528,1.2661041721067257,-0.2611957850305099,-1.3470528545710134,0.3579430073408796,-0.790418031632522,2.021728803463083,1
383,-0.2066095303893528,1.280764010375946,0.3072342207559415,0.9375654339085489,1.0519543137100855,-0.9208917574942992,2.5334765547182525,1
389,0.08983023060406607,-1.6688088435982895,0.7821562709927364,-0.8508397940802137,-0.6068462794435306,-0.00262958920262712,-1.1378961101587806,1
404,-0.3054227840538258,1.0772968893711583,-0.20043047413106993,-0.817758923380827,-0.21303810969642187,-0.447850267758188,0.6132642864987805,1
405,-0.2066095303893528,0.9885766044410766,-0.05436679655538026,-1.18164850107408,0.3041014515402565,-0.7163500460282892,-0.1387170390131773,1
406,-0.3054227840538258,0.8276476479159607,-0.20884945305703867,-0.7776250807493287,0.8480541043706367,-0.8859368405795811,-0.7083317828377202,1
407,-0.3054227840538258,0.7262211874269899,0.05016547757021052,-0.9179753791854176,1.451809617807727,-0.9833486744630254,0.00617593067172698,1
408,-0.3054227840538258,0.48936263967322857,0.24422908886356248,0.1496676917865545,2.1382510778576855,-1.0217438549702316,1.1257001928845554,1
409,-0.3054227840538258,-0.24864303492866527,-0.4356726178340314,-0.707095630641027,1.3552686623975896,-0.9474874702885154,-0.23062748044489131,1
410,0.08983023060406607,-0.951859341932828,0.1482440763339942,-0.6372748159648417,0.6548660321341354,-0.7924820779469366,-0.4846980579892627,1
450,-0.2066095303893528,1.3936734792720509,-0.7322131726282287,1.2599515487743147,-0.2673974020891737,-0.39750157974466743,-0.345614388897272,1
451,-0.2066095303893528,0.9616261710371948,-0.7833988768723916,-0.6497123134084966,0.4801745897947714,-0.793204672663043,0.18020002705653743,1
452,-0.2066095303893528,0.6075615199823078,-0.31818120718582144,-0.673804504733175,1.303297493573131,-0.9691541941869384,1.682422225971818,1
453,-0.2066095303893528,0.22930404770138169,0.21343862392963275,0.09257424945250688,1.4682885998859458,-0.9785483901124782,0.8117515515843082,1
477,0.08983023060406607,-1.5830323981364578,-0.1784991404283307,-0.5200310870863472,-0.4730571170897548,-0.2371474707122032,-0.7789479132165228,1
494,-0.2066095303893528,0.12402862716135508,0.947312968695708,-0.25136733168599523,-0.5695129690937248,-0.1714217639366779,-0.8598762416847152,1
498,-0.2066095303893528,0.00873439654990462,-0.9295045685837964,-0.08330086726856327,0.5273109847374465,-0.7411663000254252,-0.02677238424662247,1
517,-0.10779627672487983,-0.3697029534500292,1.1619999224853688,-1.18164850107408,0.31440332051620185,-0.5886065195370225,-0.9161430801181653,1
519,-0.2066095303893528,0.7498494130897885,-1.3119297349199224,-0.5861928284851204,1.3493262371867274,-0.9010165210256794,-0.5622046110715876,1
521,-0.2066095303893528,-1.0538118230938254,0.3589791926371393,0.8130108945244373,-0.30998533947303353,-0.1504682536457232,0.0906901139237952,1
539,-0.2066095303893528,-0.9034424211585652,1.1386767460813074,-1.3470528545710134,-0.39968759719592095,0.07358750077003509,-0.7482354115538355,1
541,-0.2066095303893528,1.079431202059847,-1.498563585177351,1.930521904135573,0.6130082267886844,-0.7790214127694106,-0.530102367686104,1
